Keyword,Intent,Volume,Keyword Difficulty,CPC (USD),SERP Features,Number of Results
online games to play with friends on phone,Informational,390,36,1.68,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Discussions and forums, Related searches",121
online trivia games with friends,Informational,320,43,0.49,"Sitelinks, AI Overview, Reviews, Video, Related searches",145
how to play emulated games online with friends,Informational,260,24,0.00,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Discussions and forums, Related searches",145
how to play pirated games online with friends,Informational,260,21,0.00,"Sitelinks, Video, Video carousel, People also ask, Related searches",191
thomas and friends games online,Informational,260,40,0.00,"Image, Image pack, Video, Video carousel, Related searches",127
online games family friend close friend acquaintance stranger,Informational,210,17,0.00,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches",10800000
new game online of robots with friends,Informational,170,23,0.00,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Related searches",170
online cribbage games with friends,Informational,170,32,0.61,"Sitelinks, AI Overview, Video, People also ask, Discussions and forums, Related searches",106
thomas & friends games online,Informational,170,40,0.00,"Sitelinks, Video, Video carousel, Related searches",161
thomas & friends online games,Informational,170,39,0.00,"Sitelinks, Video, Video carousel, Related searches",104
thomas the tank engine and friends games online,Informational,170,17,0.00,"Sitelinks, Video, Video carousel, People also ask, Related searches",126
best games to play with friends online,Commercial,140,37,1.09,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches, Ads middle",164
online trivia game with friends,Informational,140,33,0.25,"Sitelinks, AI Overview, Reviews, Image, Video, Related searches",162
rainbow friends games online,Informational,140,17,0.20,"Sitelinks, AI Overview, Reviews, Video, Related searches",94
games to play with friends online on chat,Informational,110,22,0.93,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Related searches",126
imposter game online with friends,Commercial,110,24,0.47,"Sitelinks, Video, Related searches",139
online battleship game with friends,Informational,110,44,0.74,"AI Overview, Video, Related searches",118
online ludo game with friends,Informational,110,46,0.66,"Sitelinks, Video, Video carousel, Related searches",158
online mobile games to play with friends,Informational,110,39,1.47,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Discussions and forums, Related searches",127
rainbow friends game online,Informational,110,24,0.17,"Reviews, Video, Related searches",98
thomas and friends online games,Informational,110,26,0.00,"Sitelinks, Reviews, Video, Related searches",96
trivia game online with friends,"Informational, Commercial",110,48,0.25,"Sitelinks, Reviews, Video, Related searches",186
barney and friends games online,Informational,90,12,0.00,"Video, Video carousel, People also ask, Related searches",103
find gamer friends online free,Informational,90,42,1.25,"Sitelinks, AI Overview, Reviews, Video, People also ask, Related searches",123
games to play with friends online iphone,Informational,90,26,0.83,"Sitelinks, AI Overview, Video, Video carousel, Short videos, People also ask, Discussions and forums, Related searches",136
app games to play with friends online,Informational,70,28,1.72,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Discussions and forums, Related searches",148
fosters home for imaginary friends online game,Informational,70,6,0.00,"Sitelinks, Video, Video carousel, People also ask, Related searches",124
fosters home of imaginary friends online game,Informational,70,3,0.00,"Sitelinks, AI Overview, Reviews, Video, Video carousel, Discussions and forums, Related searches",142
games to play with friends not online,Informational,70,48,0.00,"Sitelinks, AI Overview, Reviews, Video, People also ask, Related searches, Ads bottom",146
guess who game online with friends,Informational,70,25,0.00,"Sitelinks, Video, People also ask, Related searches",107
happy tree friends online games,Informational,70,26,0.00,"Reviews, Video, People also ask, Related searches",134
imposter word game online with friends,Commercial,70,14,0.00,"Sitelinks, Reviews, Video, People also ask, Related searches",144
online drinking games with friends,Informational,70,33,0.63,"Sitelinks, Reviews, Video, Related searches",125
online games to play with friends long distance,Informational,70,29,1.88,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches",97
online phone games to play with friends,Informational,70,33,2.10,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Discussions and forums, Related searches",142
thomas and friends game online,Informational,70,31,0.00,"Image, Image pack, Video, Video carousel, Related searches",128
fun online browser games to play with friends,Informational,50,49,0.00,"Sitelinks, AI Overview, Video, Discussions and forums, Related searches",221000000
good online games with friends,Informational,50,34,2.17,"Sitelinks, AI Overview, Video, People also ask, Related searches",129
jeopardy game online with friends,Informational,50,37,0.00,"Sitelinks, Reviews, Video, People also ask, Related searches",125
thomas and friends many moods game online,Informational,50,23,0.00,"Reviews, Video, Video carousel, Related searches",103
find gamer friends online,Informational,40,48,0.00,"Sitelinks, AI Overview, Reviews, Video, Video carousel, Discussions and forums, Related searches",115
friends trivia game online,Informational,40,14,0.00,"Video, Video carousel, Related searches",167
games to play with friends indoor online,Informational,40,31,0.00,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Related searches",146
online games to make friends,Informational,40,26,2.51,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches",120
online guess who game with friends,Informational,40,34,0.00,"Sitelinks, AI Overview, Reviews, Video, Related searches",121
party games online with friends,Informational,40,25,0.00,"Sitelinks, AI Overview, Reviews, Video, Video carousel, Discussions and forums, Related searches",132
phone games to play with friends online,Informational,40,33,3.00,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Discussions and forums, Related searches",143
scary games to play online with friends,Informational,40,48,0.00,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Related searches",126
scary games to play with friends online,Informational,40,46,0.00,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Discussions and forums, Related searches",135
games you can play with friends online iphone,Informational,30,31,0.99,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Discussions and forums, Related searches",137
online games make friends and chat mobile,Informational,30,24,3.29,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches",115
