Keyword,Intent,Volume,Keyword Difficulty,CPC (USD),SERP Features,Number of Results
online games to play with friends on phone,Informational,390,36,1.68,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Discussions and forums, Related searches",121
online trivia games with friends,Informational,320,43,0.49,"Sitelinks, AI Overview, Reviews, Video, Related searches",145
how to play emulated games online with friends,Informational,260,24,0.00,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Discussions and forums, Related searches",145
how to play pirated games online with friends,Informational,260,21,0.00,"Sitelinks, Video, Video carousel, People also ask, Related searches",191
new game online of robots with friends,Informational,170,23,0.00,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Related searches",170
online cribbage games with friends,Informational,170,32,0.61,"Sitelinks, AI Overview, Video, People also ask, Discussions and forums, Related searches",106
best games to play with friends online,Commercial,140,37,1.09,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches, Ads middle",164
online trivia game with friends,Informational,140,33,0.25,"Sitelinks, AI Overview, Reviews, Image, Video, Related searches",162
games to play with friends online on chat,Informational,110,22,0.93,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Related searches",126
imposter game online with friends,Commercial,110,24,0.47,"Sitelinks, Video, Related searches",139
online battleship game with friends,Informational,110,44,0.74,"AI Overview, Video, Related searches",118
online ludo game with friends,Informational,110,46,0.66,"Sitelinks, Video, Video carousel, Related searches",158
online mobile games to play with friends,Informational,110,39,1.47,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Discussions and forums, Related searches",127
trivia game online with friends,"Informational, Commercial",110,48,0.25,"Sitelinks, Reviews, Video, Related searches",186
games to play with friends online iphone,Informational,90,26,0.83,"Sitelinks, AI Overview, Video, Video carousel, Short videos, People also ask, Discussions and forums, Related searches",136
app games to play with friends online,Informational,70,28,1.72,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Discussions and forums, Related searches",148
games to play with friends not online,Informational,70,48,0.00,"Sitelinks, AI Overview, Reviews, Video, People also ask, Related searches, Ads bottom",146
guess who game online with friends,Informational,70,25,0.00,"Sitelinks, Video, People also ask, Related searches",107
imposter word game online with friends,Commercial,70,14,0.00,"Sitelinks, Reviews, Video, People also ask, Related searches",144
online drinking games with friends,Informational,70,33,0.63,"Sitelinks, Reviews, Video, Related searches",125
online games to play with friends long distance,Informational,70,29,1.88,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches",97
online phone games to play with friends,Informational,70,33,2.10,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Discussions and forums, Related searches",142
fun online browser games to play with friends,Informational,50,49,0.00,"Sitelinks, AI Overview, Video, Discussions and forums, Related searches",221000000
good online games with friends,Informational,50,34,2.17,"Sitelinks, AI Overview, Video, People also ask, Related searches",129
jeopardy game online with friends,Informational,50,37,0.00,"Sitelinks, Reviews, Video, People also ask, Related searches",125
games to play with friends indoor online,Informational,40,31,0.00,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Related searches",146
online guess who game with friends,Informational,40,34,0.00,"Sitelinks, AI Overview, Reviews, Video, Related searches",121
party games online with friends,Informational,40,25,0.00,"Sitelinks, AI Overview, Reviews, Video, Video carousel, Discussions and forums, Related searches",132
phone games to play with friends online,Informational,40,33,3.00,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Discussions and forums, Related searches",143
scary games to play online with friends,Informational,40,48,0.00,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Related searches",126
scary games to play with friends online,Informational,40,46,0.00,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Discussions and forums, Related searches",135
games you can play with friends online iphone,Informational,30,31,0.99,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Discussions and forums, Related searches",137
