Keyword,Intent,Volume,Keyword Difficulty,CPC (USD),SERP Features,Number of Results
group online games,Informational,480,34,0.81,"Sitelinks, AI Overview, Video, People also ask, Discussions and forums, Related searches",118
free online trivia games for groups,Informational,260,30,0.69,"Sitelinks, AI Overview, Video, Related searches, Ads bottom",139
games online for groups,Informational,260,30,1.07,"Sitelinks, AI Overview, Reviews, Video, People also ask, Related searches, Ads bottom",129
online games group,Informational,260,39,1.07,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Related searches",134
online games for groups,Informational,140,36,0.95,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Related searches, Ads middle",109
online group games trivia,Commercial,110,49,1.18,"Sitelinks, Video, Discussions and forums, Related searches, Ads bottom",133
online trivia game for groups,Informational,90,30,1.13,"Sitelinks, AI Overview, Video, Video carousel",151
free online games for groups,Informational,70,45,0.98,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Discussions and forums, Related searches",174
group games to play online,Informational,70,49,0.00,"Sitelinks, AI Overview, Video, People also ask, Discussions and forums, Related searches",127
group trivia games online,Commercial,70,16,1.64,"Sitelinks, Video, Related searches, Ads bottom",131
online group trivia games,Informational,70,37,1.13,"Sitelinks, AI Overview, Video, Related searches",132
best free online trivia games for groups,Commercial,50,45,0.70,"Sitelinks, AI Overview, Video, People also ask, Discussions and forums",139
fun group games online,Informational,50,42,1.16,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches, Ads bottom, Ads middle",117
online games for group,Informational,50,29,1.10,"Sitelinks, AI Overview, Video, People also ask, Related searches, Ads bottom",115
online group games for work,Informational,50,28,1.05,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Discussions and forums, Related searches",132
online party games for large groups,Informational,50,30,1.43,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Discussions and forums, Related searches",117
fun group online games,Informational,40,41,1.20,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask",116
fun online games for groups,Informational,40,34,1.04,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Discussions and forums, Related searches",137
online trivia games for large groups,Informational,40,34,0.00,"Sitelinks, Reviews, Video, People also ask, Related searches",114
online games for large groups,Informational,30,14,1.53,"Sitelinks, AI Overview, Video, People also ask, Discussions and forums, Related searches",128
